5240,:),,,
5193,vo,,,
4458,(),,,
3280,:D,,,
1645,:p,,,
1525,:(,,,
1433,(o),,,
1402,Do,,,
1107,--,,,
1089,;),,,
1040,-_-,,,
1028,OO,,,
1023,<3,,,
893,Vo,,,
837,v.,,,
685,^^,,,
665,voo,,,
585,v,,,
584,:P,,,
541,:)),,,
530,(^o^),,,
511,DO,,,
510,:*,,,
491,**,,,
467,(_),,,
448,(:,,,
438,xp,,,
434,(^^),,,
403,(`),,,
392,:3,,,
389,:-),,,
375,:/,,,
349,O,,,
346,(**),,,
340,xD,,,
340,v!,,,
338,*-*,,,
337,:'(,,,
333,xo,,,
326,D:,,,
304,D.,,,
303,xx,,,
301,OD,,,
294,XD,,,
288,-.-,,,
286,=)),,,
285,Do',,,
283,OV,,,
280,Oo,,,
279,O!,,,
271,Dp,,,
269,(@,,,
261,O.,,,
260,v:,,,
258,vz,,,
257,Op,,,
249,(o,,,
244,Dv,,,
242,v?,,,
240,vo.,,,
240,#NAME?,,,
239,D,,,
237,D?,,,
235,=),,,
234,(>_<),,,
231,-__-,,,
226,::,,,
225,:'),,,
217,vv,,,
216,D!,,,
205,:O,,,
203,vo,,,
198,(*^^*),,,
196,Doo,,,
195,(*),,,
191,-,,,
190,VO,,,
189,:|,,,
187,(^O^),,,
185,;D,,,
182,><,,,
179,:o,,,
176,v...,,,
167,Ov,,,
164,#NAME?,,,
160,(v,,,
158,;p,,,
157,v',,,
157,*p,,,
153,()(),,,
152,x,,,
147,(;),,,
146,xpo,,,
145,OP,,,
145,;-),,,
143,-,,,
142,DD,,,
141,xxx,,,
141,-___-,,,
140,(`,,,
138,:$,,,
136,*o,,,
135,(.),,,
133,x.,,,
128,"--""",,,
125,"(_"")",,,
125,-.,,,
122,O:,,,
120,#NAME?,,,
119,:))),,,
115,vo!,,,
108,;;),,,
102,--',,,
100,vvo,,,
98,^_^,,,
97,V:,,,
97,DVD,,,
97,D...,,,
96,\(`)/,,,
95,vp,,,
95,>>,,,
94,V,,,
93,x!,,,
93,-8,,,
92,(^-^),,,
92,-->,,,
91,v..,,,
91,(p,,,
90,D',,,
90,(?),,,
89,-3,,,
88,x-,,,
85,"-_-""",,,
83,vov,,,
82,-),,,
81,08:00,,,
81,-____-,,,
80,V.,,,
80,(_`),,,
80,>.<,,,
79,\/,,,
78,8,,,
78,(^-^)/,,,
78,;*,,,
77,*o*,,,
77,-8,,,
74,DP,,,
73,:@,,,
72,xv,,,
72,Vo:,,,
72,:-D,,,
71,Voo,,,
71,OB,,,
71,:-(,,,
70,DV,,,
70,(.,,,
69,*p*,,,
69,->,,,
68,*),,,
68,()`),,,
68,:],,,
67,O!!,,,
67,Dpo,,,
65,VP,,,
65,(-),,,
64,(*`*),,,
64,(;,,,
63,V',,,
63,O!!!,,,
63,:.,,,
63,--,,,
63,_),,,
62,vo?,,,
62,O...,,,
62,(^_^;),,,
62,:((,,,
61,OOO,,,
61,OOD,,,
61,((,,,
61,(''),,,
60,D!!,,,
60,(_,,,
59,v!!,,,
59,Dz,,,
59,-:,,,
58,Ooo,,,
58,O',,,
57,(P,,,
57,(o^^o),,,
57,(,,,
57,=))),,,
56,(^),,,
56,;;,,,
55,x),,,
55,V!,,,
55,Do,,,
55,(-_-),,,
54,vo:,,,
54,8,,,
53,;(,,,
53,--->,,,
52,vo...,,,
52,(;_;),,,
51,(@poo,,,
51,O?,,,
51,88,,,
51,(^_^),,,
50,vop,,,
50,v!!!,,,
50,\o/,,,
49,VD,,,
49,ODO,,,
49,":""",,,
49,=(,,,
48,</3,,,
47,:DD,,,
46,#NAME?,,,
46,__,,,
45,:x,,,
45,O..,,,
45,:9,,,
45,^^;,,,
44,x_x,,,
44,x?,,,
44,x:,,,
44,:B,,,
44,(--),,,
43,Vv,,,
43,D-,,,
43,():,,,
43,(),,,
43,(',,,
43,(/,,,
43,(`)-,,,
42,;P,,,
42,\()/,,,
41,Xx,,,
41,(*^o^*),,,
41,Dvo,,,
41,:,,,
41,>>>,,,
40,(P),,,
40,Dvop,,,
40,<33,,,
40,(~)~,,,
40,=/,,,
39,vzo,,,
39,Do.,,,
39,D..,,,
39,(3,,,
39,(_'!),,,
38,xxxx,,,
38,Vz,,,
38,OZ,,,
38,Oz,,,
38,Opo,,,
38,(oo),,,
38,(:),,,
38,(;;),,,
38,":"">",,,
38,-...,,,
38,-..-,,,
38,--.,,,
38,---,,,
37,v-,,,
37,Do:,,,
37,#NAME?,,,
37,*_*,,,
37,(*`),,,
37,:>,,,
36,vx,,,
36,*po,,,
36,Dx,,,
36,89,,,
36,()　,,,
36,(..),,,
36,(/),,,
36,-!,,,
35,Xox,,,
35,*oo,,,
35,#NAME?,,,
35,Dop,,,
35,-_____-,,,
35,>_<,,,
34,x...,,,
34,(p),,,
34,(@o,,,
34,DOO,,,
34,D!!!,,,
34,8%,,,
34,()/,,,
34,:)))),,,
34,<>,,,
34,<<,,,
33,":D""",,,
33,*--*,,,
33,()!!,,,
33,:).,,,
33,:',,,
33,<--,,,
32,"v""",,,
32,(v:,,,
32,#NAME?,,,
32,({}),,,
32,(><),,,
32,:\,,,
32,":)""",,,
32,;)),,,
31,X-,,,
31,O:),,,
31,DB,,,
31,(B),,,
31,-9,,,
31,83,,,
31,-8,,,
31,(*_*),,,
31,(*^_^*),,,
31,:...,,,
30,xDD,,,
30,voz,,,
30,v),,,
30,(O,,,
30,#NAME?,,,
30,(B,,,
30,^.^,,,
29,xp.,,,
29,#NAME?,,,
29,O.o,,,
29,O!!!!,,,
29,Dov,,,
29,DO',,,
29,8),,,
29,(()),,,
28,O_o,,,
28,()()(),,,
28,_:,,,
27,x..,,,
27,8p,,,
27,8/,,,
27,*.*,,,
27,(^^)/,,,
27,=)))),,,
27,=>,,,
26,Vp,,,
26,vo',,,
26,Oo,,,
26,-3,,,
26,\(^^)/,,,
26,"()""",,,
26,(^,,,
26,----,,,
25,XP,,,
25,x!!,,,
25,vz,,,
25,Vo.,,,
25,:-P,,,
25,OX,,,
25,"O""",,,
25,:'D,,,
25,#NAME?,,,
25,08:03,,,
25,<333,,,
25,(#^.^#),,,
25,(-,,,
25,(^^;,,,
25,;/,,,
25,>,,,
25,=],,,
25,==,,,
25,<<<,,,
24,Xo,,,
24,xo.,,,
24,Vvo,,,
24,v....,,,
24,#NAME?,,,
24,OO!,,,
24,(oo,,,
24,Doov,,,
24,:-/,,,
24,"-""",,,
24,-',,,
24,^),,,
23,;x,,,
23,Vo,,,
23,;O,,,
23,(^o^)/,,,
23,DX,,,
23,"D""",,,
23,(D),,,
23,***,,,
23,(^^;),,,
23,":"")",,,
23,:-,,,
23,"-__-""",,,
22,xo,,,
22,Vo!,,,
22,V-,,,
22,O-,,,
22,(O),,,
22,DO!,,,
22,(9,,,
22,(8,,,
